"tgav","year","model"
15.797963631697,2032,"CanESM5"
15.9140938329452,2033,"CanESM5"
16.1207961300542,2034,"CanESM5"
16.1116386020077,2035,"CanESM5"
15.9686965763165,2036,"CanESM5"
16.0403306453786,2037,"CanESM5"
16.066043377304,2038,"CanESM5"
16.0993966102744,2039,"CanESM5"
16.1711834477199,2040,"CanESM5"
16.2554269110248,2041,"CanESM5"
16.4553488703793,2042,"CanESM5"
16.2440613837373,2043,"CanESM5"
16.4239704839407,2044,"CanESM5"
16.3695350327076,2045,"CanESM5"
16.3381661267425,2046,"CanESM5"
16.3311120341493,2047,"CanESM5"
16.5404859585043,2048,"CanESM5"
16.406362161453,2049,"CanESM5"
16.4426353654448,2050,"CanESM5"
16.6750364932034,2051,"CanESM5"
16.7872828066037,2052,"CanESM5"
16.5648308104472,2053,"CanESM5"
16.4733386514544,2054,"CanESM5"
16.7028397836161,2055,"CanESM5"
16.9650623675154,2056,"CanESM5"
16.905569790881,2057,"CanESM5"
16.9318231368513,2058,"CanESM5"
17.1164327545007,2059,"CanESM5"
17.1346504923963,2060,"CanESM5"
17.020464286507,2061,"CanESM5"
16.9478381635592,2062,"CanESM5"
17.0812968538269,2063,"CanESM5"
16.9619272703577,2064,"CanESM5"
16.9883047990594,2065,"CanESM5"
17.1589478282372,2066,"CanESM5"
17.0941525863451,2067,"CanESM5"
17.0336407640926,2068,"CanESM5"
17.238236949439,2069,"CanESM5"
17.2220688919788,2070,"CanESM5"
17.279969622335,2071,"CanESM5"
17.3352855274885,2072,"CanESM5"
17.379313074108,2073,"CanESM5"
17.4168840561074,2074,"CanESM5"
17.2974946084362,2075,"CanESM5"
17.3902036063756,2076,"CanESM5"
17.4127419105647,2077,"CanESM5"
17.4414552009199,2078,"CanESM5"
17.4759911942602,2079,"CanESM5"
17.2634426332552,2080,"CanESM5"
17.3499874621334,2081,"CanESM5"
17.5507951080381,2082,"CanESM5"
17.5025199481808,2083,"CanESM5"
17.5784399476297,2084,"CanESM5"
17.7463091676462,2085,"CanESM5"
17.70542589741,2086,"CanESM5"
17.8213189636071,2087,"CanESM5"
17.7907017479043,2088,"CanESM5"
